CommonName,BotanicalName,Family,PlantType,MatureSize,SunExposure,SoilType,SoilpH,BloomTime,FlowerColor,HardinessZones,NativeArea,Toxicity,NativeAreas,CommonNames,Commonname,Size,HardinessZone,NativeRange,FamilyName,ScientificName,FlowerColors,BotanicalNames,Botanicaname,Planttype,Maturesize,Sunexposure,Soiltype,Bloomtime,Flowercolor,Hardinesszones,Nativearea,BloomColor,USDAHardinessZone,USDAHardinessZones,Toxicity:,,"Mizunakyona,shuicai","5to7incheshigh,10to15incheswide","Well-drained,richsoil",Spring(nottypicallygrownforflowers),4to9,Botanicalname,GrowingTime,Commonnames,Phyllostachysaurea,LightExposure,GrowingZones,CommonName:,BotanicalName:,Family:,PlantType:,Size:,SunExposure:,SoilType:,SoilpH:,BloomTime:,HardinessZones:,NativeArea:,Dracaenatrifasciata(formerlySansevieriatrifasciata),"Evergreen,perennial",Shadetopartialsun,Slightlyacidictoslightlyalkaline,White,WestAfrica(tropical),BotaicalName,SoilNeeds,PlantTypes,Nativerange,BontanicalName,Soilp,Toxicty,otanicalName,NativeAreaEastern,GrowingMedia,LeafColor,ParrotTulip,"5inchesacross,15-20inchstems","Chalky,loamy,andsandysoil",Spring,4-7,PlantFamily,WaterpH,BoomTime,WaterType,Soil,PlantSize,USDAhardinesszone,SunType,Zones,BloomTIme,Parthenocissusquinquefolia,"Perennial,Vine","Full,Partial,Shade",Neutraltoacidic(5.1to7.3),Greenishwhite,EasternandCentralUnitedStates,USDAPlantHardinessZones,SoilpHN,Flower,Flower(Bract)Color,BotanialName,url,Water
"Pink evening primrose, showy evening primrose, pinkladies, Mexican primrose",Oenothera speciosa,Onagraceae,Herbacious perennial,"12–18 in. tall, 12–18 in. wide ",Full,"Loose, well-draining; tolerates rocky poor soil",Slightly acidic to neutral,"Summer, fall","White, pale pink",5–8 (USDA) 2  ,North America,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-pink-evening-primrose-5076325,"A moderate consumer of water, pink evening primrose blooms best when it receives a steady supply of water. In the first year, it’s recommended that you water this plant weekly to help it thrive, but moving forward, available rainfall is generally sufficient."
"Calypso orchid, fairy slipper, Venus' slipper",Calypso bulbosa,Orchidaceae,Perennial,"3–6 in. tall, 3 in. wide","Partial, shade","Moist, well-drained",Acidic,"Spring, summer","Pink, purple, red, white","4–8, USA","North America, Eurasia ",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/grow-calypso-plants-3960435,"These plants like evenly moist soil. So water whenever the growing medium begins to dry out, but do not overwater to the point that it remains soggy. Also, avoid using chlorinated water or water that is high in minerals, as this can damage or even kill the sensitive orchids. Watering with distilled water or collected rainwater is best for the plants."
 Mentha spicata, Spearmint,Null, Herbaceous Perennial, 18-36 inches, Full Sun- Part Shade," Well-draining, rich, moist soil", Neutral, Summer, Lavender," Zones 4 - 10, USA", Europe and Asia,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/how-to-grow-spearmint-5086858,"Water regularly, being careful not to overwater. Allow soil to go almost dry between watering, then soak thoroughly."
Dahlia,Dahlia spp.,Asteraceae,Perennial,"1-6 ft. tall, and 1-3 ft. wide",Full,"Loamy, well-drained","Neutral, acidic","Summer, fall","Red, pink, orange, yellow, purple, white",8-10 (USDA),"North America, Central America",Toxic to dogs and cats2,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-and-caring-for-dahlias-1402255,"Plant dahlia tubers in the spring, and then let nature take its course until sprouting occurs. Do not water dahlia tubers until green growth shows above the surface. They will not need water before their root system develops."
Apricot Tree,Prunus armeniaca,Null,Tree, 20-30 ft. tall and wide., Full Sun,"average, medium moisture, well-drained",Neutral to Slightly Alkaline,Late April,white or pink,USDA 5-8,China,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-apricot-trees-5115419,"Full-grown trees will need supplemental water to keep the soil moist. The apricot tree is not drought tolerant. Supplemental watering will ensure good production of blooms and fruit in the warmer zones. Drip, sprinkler, or other watering methods can be used to saturate the tree’s soil at least weekly."
"French lavender, fringed lavender",Lavandula dentata,Lamiaceae,Perennial,"23-36 inches tall, 23-27 inches wide",Full,"Sandy, Well-drained","Neutral, Alkaline","Spring, Summer, Fall, Winter",Purple,"8-11, USDA","Europe, Mediterranean",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/french-lavender-growing-guide-5194430,"French lavender is extremely drought-tolerant and prefers to grow in dry conditions. Because of this, you will most likely not need to water French lavender unless in cases of extreme heat and drought. New plants appreciate more water when first planted, but they do not require consistent water after becoming established. Watering every few weeks will be fine until blooms appear. After that, switch to weekly or twice weekly watering until you harvest the blooms."
"Fumewort, hollow wort, turkey corn",Corydalis canadensis,Null,Perennial,12 to 18 inches,Shade to partial sun,"Rich, well-drained, slightly alkaline",5.0 - 7.0,Spring,"Blue, pink, purple, white, yellow",5 to 7,Null,Null,"China, Northern Africa, Northern Hemisphere",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/corydalis-plant-profile-4843268,Null
"Inkberry holly, gallberry, Appalachian tea",Ilex glabra,Aquifoliaceae,Shrub,"5-10 ft. tall, 5-8 ft. wide","Full, partial","Moist, well-drained, clay",Acidic,Spring,White,4-10 (USDA),North America,"Toxic to people, toxic to pets1",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/densa-inkberry-holly-versatile-native-option-2131850,"Inkberry needs quite a bit of water after it is established and more so as it is becoming established. You will need to water at least once a week, especially if the weather is dry."
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/gympie-gympie-identify-remove-5199334,Null
Null,Cornus alternifolia,Cornaceae,Shrub,"15-25 ft. tall, 12-32 ft. wide","Full, partial","Loamy, well-drained",Acidic,Spring,"Yellow, white",3-7 (USDA),North America,Null,Null,"Pagoda dogwood, alternate-leaved dogwood, green osier",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/golden-shadows-pagoda-dogwood-2132847,Pagoda dogwood should be watered weekly when there is no rain; it requires about 1 inch of soil per week.
"Hoya obovata, wax plant ",Hoya obovata,Null,Epiphyte ,Can grow 12-20 ft. in length ,"Full sun-bright, indirect light ","Rich, well-draining ",6.1-7.3 ,"Spring, summer ","Light pink, white ",Null,Indonesia ,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-hoya-obovata-5089410,"Hoya obovatas are very sensitive to overwatering and should be allowed to dry out thoroughly between waterings. The frequency of watering for your hoya obovata depends on a variety of factors such as the amount of light it receives, the type of pot (plastic, ceramic, terracotta), the potting mixture, and the season. Wait until the soil has dried out and then water thoroughly. In the fall and winter months, reduce the amount of water while the plant is in dormancy."
"African daisy, cape daisy, osteospermum",Osteospermum spp.,Asteraceae,"Perennial, annual","1–3 ft. tall, 1–2 ft. wide",Full,"Moist, well-drained",Acidic,"Spring, summer, fall","Purple, pink, yellow, orange, white",10–11 (USDA),"Africa, Asia",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-and-caring-for-african-daisies-1402912,"Although somewhat drought-tolerant once established, African daisies still need at least 1 inch of water per week to grow their best. During periods of drought or intense heat, the plants will slow down and go dormant. Aim to keep the soil evenly moist. But don't overwater, as soggy soil can encourage diseases such as root rot.1"
"English ivy, common ivy, European ivy",Hedera helix,Araliaceae,"Perennial, evergreen climbing vine",N/A; climbs and spreads as much as possible,Part shade to full shade,Fertile and moist,Neutral to slightly alkaline,Fall,"Greenish-white, greenish-yellow",4-13 (USDA),"Europe, Scandinavia, Russia",Toxic to people and pets,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/english-ivy-plants-2132215,"When watering your ivy, always check the soil before adding water. Ivy prefers to be kept slightly on the dry side, so let the soil dry out some (dry to the touch on top) before you water your ivy plants again. Indoor or outdoor ivy prefers evenly moist but not soggy soil. Also, make sure that your plant has excellent drainage. Ivy should not be kept in standing water or overly wet soil."
Null,Symphytum officinale,Boraginaceae,"Herbaceous, perennial","12-36 in. tall, 9-30 in. wide","Full, partial","Loamy, well-drained",Neutral,Spring,"Purple, pink, white",4-8 (USDA),"Europe, Asia",Toxic to humans1 and pets2,Null,"Comfrey, common comfrey, true comfrey, knitbone, knitback, consound",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-comfrey-1402605,Comfrey plants like an even amount of soil moisture. They have some drought tolerance once they're established but prefer at least a moderate level of water. Be sure to keep the soil of young plants consistently moist but not soggy. Water mature plants whenever the top inch or two of soil begins to dry out.
"California Fan Palm, Desert Fan Palm",Washingtonia filifera,Arecaceae,Tree,"30 to 80 ft. tall, 15 ft. wide","Full, Partial","Loamy, Sandy, Moist but well-drained","Acidic, Neutral, Alkaline",Summer,White,"8-11, USA",North America,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/washington-filifera-california-fan-palm-guide-5214258,"Like most desert plants, the California fan palm is drought tolerant once established. Be sure to water a newly planted tree regularly until it regularly produces new growth. Providing about one inch of water per week will help keep the young tree healthy. Once established, this tree does not need regular watering. Give it an occasional, deep watering to ensure its continued health."
Null, Abies procera, Pinaceae, Tree," 50 to 100 ft. tall, 30 ft. wide"," Full sun, part shade"," Loamy, sandy, clay, silt, moist, well-drained", Acidic (5.0 to 6.5),Null,Null," 5-6, USA", North America,Null,Null,Null,"Noble fir, red fir, white fir ",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/noble-fir-growing-guide-5202075,"The tree needs constant moisture, and it’s important to keep in mind that in its native habitat, three quarters of the precipitation consists of snow that falls between October through March. It would be difficult to duplicate this pattern by irrigation. For this reason noble fir should be grown in a climate with frequent and ample precipitation from fall through spring and with frequent snowfall. "
Arizona Cypress,Cupressus arizonica ,Cupressaceae,Coniferous evergreen,"40 to 50 feet tall, 15 to 30 feet wide",Full sun,"Acidic, alkaline, loamy, sandy, well-drained","Acidic, alkaline, neutral",Non-flowering,Non-flowering,7-9 (USDA),"Southwest United States, Mexico",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/arizona-cypress-growing-tips-3269300,"Cupressus arizonica can tolerate dry soils, but it does need at least 10 to 12 inches of water annually. Any location chosen should offer proper drainage for optimal growth. It will grow better if it is watered regularly."
